CNPJ, NOME, EMISSAO, NUMERO, VALOR, CHAVE
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-04,142046,51570.92,NFe35140405300331000241550010001420461599329785
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-04,142047,1822.34,NFe35140405300331000241550010001420471410952882
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-04,142048,5822.05,NFe35140405300331000241550010001420481718330689
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-12,144727,4730.41,NFe35140405300331000241550010001447271183132493
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-12,144728,59771.47,NFe35140405300331000241550010001447281200917640
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-12,144729,42477.4,NFe35140405300331000241550010001447291957776418
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-12,144730,5596.17,NFe35140405300331000241550010001447301310172079
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-24,149035,19958.45,NFe35140405300331000241550010001490351804933624
05300331000241,Dairy Partners Americas Brasil Ltda,2014-04-24,149040,39699.05,NFe35140405300331000241550010001490401199085410
05300331000241,Dairy Partners Americas Brasil Ltda,2014-05-23,161595,55261.23,NFe35140505300331000241550010001615951103848523
05300331000241,Dairy Partners Americas Brasil Ltda,2014-05-23,161599,6684.13,NFe35140505300331000241550010001615991080858683
05300331000241,Dairy Partners Americas Brasil Ltda,2014-05-23,161600,52431.62,NFe35140505300331000241550010001616001082535345
05300331000241,Dairy Partners Americas Brasil Ltda,2014-05-31,165298,58226.42,NFe35140505300331000241550010001652981480720870
05300331000241,Dairy Partners Americas Brasil Ltda,2014-05-31,165300,8650.07,NFe35140505300331000241550010001653001519850213
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-06,167630,8650.06,NFe35140605300331000241550010001676301439766583
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-06,167631,3067.84,NFe35140605300331000241550010001676311730789036
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-06,167633,50055.88,NFe35140605300331000241550010001676331444342151
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-06,167634,67779.98,NFe35140605300331000241550010001676341453822346
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-13,170256,62240.98,NFe35140605300331000241550010001702561368930110
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-13,170257,51973.72,NFe35140605300331000241550010001702571365412094
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-13,170258,2300.88,NFe35140605300331000241550010001702581599114330
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-13,170259,7863.69,NFe35140605300331000241550010001702591993430641
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-18,171909,16244.4,NFe35140605300331000241550010001719091551068980
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-18,171910,31817.38,NFe35140605300331000241550010001719101493329900
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-18,171911,2359.1,NFe35140605300331000241550010001719111595652570
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-20,172584,50105.4,NFe35140605300331000241550010001725841360203961
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-20,172585,57123.99,NFe35140605300331000241550010001725851086553864
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-20,172586,934.03,NFe35140605300331000241550010001725861161158839
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-20,172587,3931.85,NFe35140605300331000241550010001725871150162233
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-20,172588,2300.88,NFe35140605300331000241550010001725881068336123
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-25,175101,270.55,NFe35140605300331000241550010001751011667180031
05300331000241,Dairy Partners Americas Brasil Ltda,2014-06-25,175106,270.55,NFe35140605300331000241550010001751061142785697
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-18,184479,65037.37,NFe35140705300331000241550010001844791167294765
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-18,184480,45526.89,NFe35140705300331000241550010001844801104533194
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-18,184481,6406.21,NFe35140705300331000241550010001844811188543045
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-18,184482,5504.58,NFe35140705300331000241550010001844821135186938
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-24,186694,56443.67,NFe35140705300331000241550010001866941366483963
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-24,186695,51692.45,NFe35140705300331000241550010001866951737137550
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-24,186696,7470.5,NFe35140705300331000241550010001866961094551799
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-24,186697,6135.66,NFe35140705300331000241550010001866971429770770
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-30,189460,9203.49,NFe35140705300331000241550010001894601884852103
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-30,189495,20326.51,NFe35140705300331000241550010001894951189031615
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-30,189496,20028.93,NFe35140705300331000241550010001894961016527837
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189740,44814.47,NFe35140705300331000241550010001897401085704093
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189741,53942.88,NFe35140705300331000241550010001897411971075742
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189742,5111.39,NFe35140705300331000241550010001897421368295652
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189743,6902.62,NFe35140705300331000241550010001897431665305463
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189750,63376.67,NFe35140705300331000241550010001897501087051697
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189751,48092.51,NFe35140705300331000241550010001897511665716430
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189752,4105.34,NFe35140705300331000241550010001897521381373013
05300331000241,Dairy Partners Americas Brasil Ltda,2014-07-31,189753,5504.58,NFe35140705300331000241550010001897531784906416
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-14,194983,47678.78,NFe35140805300331000241550010001949831172986375
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-14,194984,53424.11,NFe35140805300331000241550010001949841155721781
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-14,194985,3338.39,NFe35140805300331000241550010001949851231838971
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-14,194986,7077.31,NFe35140805300331000241550010001949861994518591
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-23,198680,6135.66,NFe35140805300331000241550010001986801100391600
05300331000241,Dairy Partners Americas Brasil Ltda,2014-08-23,198698,7077.31,NFe35140805300331000241550010001986981353076928
